Training Log
==================================================
Epoch 1/100 Loss: 0.0512 | Time: 39.17 sec
Epoch 2/100 Loss: 0.0237 | Time: 40.57 sec
Epoch 3/100 Loss: 0.0207 | Time: 40.82 sec
Epoch 4/100 Loss: 0.0193 | Time: 37.94 sec
Epoch 5/100 Loss: 0.0185 | Time: 39.24 sec
Epoch 6/100 Loss: 0.0178 | Time: 41.52 sec
Epoch 7/100 Loss: 0.0174 | Time: 38.26 sec
Epoch 8/100 Loss: 0.0170 | Time: 37.89 sec
Epoch 9/100 Loss: 0.0169 | Time: 38.30 sec
Epoch 10/100 Loss: 0.0164 | Time: 39.47 sec
Epoch 11/100 Loss: 0.0164 | Time: 38.29 sec
Epoch 12/100 Loss: 0.0161 | Time: 38.77 sec
Epoch 13/100 Loss: 0.0159 | Time: 38.33 sec
Epoch 14/100 Loss: 0.0158 | Time: 38.12 sec
Epoch 15/100 Loss: 0.0157 | Time: 39.23 sec
Epoch 16/100 Loss: 0.0155 | Time: 42.63 sec
Epoch 17/100 Loss: 0.0157 | Time: 39.07 sec
Epoch 18/100 Loss: 0.0154 | Time: 39.82 sec
Epoch 19/100 Loss: 0.0154 | Time: 38.07 sec
Epoch 20/100 Loss: 0.0153 | Time: 38.70 sec
Model saved to checkpoints/diffusion_mnist_epoch_20.pth
Epoch 21/100 Loss: 0.0151 | Time: 37.94 sec
Epoch 22/100 Loss: 0.0152 | Time: 38.83 sec
Epoch 23/100 Loss: 0.0151 | Time: 39.17 sec
Epoch 24/100 Loss: 0.0149 | Time: 39.13 sec
Epoch 25/100 Loss: 0.0151 | Time: 38.43 sec
Epoch 26/100 Loss: 0.0150 | Time: 39.05 sec
Epoch 27/100 Loss: 0.0148 | Time: 39.04 sec
Epoch 28/100 Loss: 0.0149 | Time: 39.62 sec
Epoch 29/100 Loss: 0.0148 | Time: 37.88 sec
Epoch 30/100 Loss: 0.0147 | Time: 39.33 sec
Epoch 31/100 Loss: 0.0149 | Time: 38.97 sec
Epoch 32/100 Loss: 0.0147 | Time: 38.15 sec
Epoch 33/100 Loss: 0.0146 | Time: 38.63 sec
Epoch 34/100 Loss: 0.0145 | Time: 39.17 sec
Epoch 35/100 Loss: 0.0146 | Time: 38.66 sec
Epoch 36/100 Loss: 0.0147 | Time: 38.26 sec
Epoch 37/100 Loss: 0.0145 | Time: 38.99 sec
Epoch 38/100 Loss: 0.0147 | Time: 38.12 sec
Epoch 39/100 Loss: 0.0144 | Time: 38.26 sec
Epoch 40/100 Loss: 0.0146 | Time: 39.38 sec
Model saved to checkpoints/diffusion_mnist_epoch_40.pth
